,AAPL,MSFT,NVDA
2025-11-21,266.4511105350508,478.3496536375218,181.1636786340831
2025-11-24,266.28372989597204,478.23758568756125,180.9926411717977
2025-11-25,266.1166942210594,478.07830461682454,180.88724019937365
2025-11-26,265.95088545121604,477.9311107042445,180.77673923949914
2025-11-27,265.7861365651303,477.7836714223213,180.66759034704418
2025-11-28,265.62271588457486,477.63756938080803,180.55926829176875
2025-12-01,265.4605837375593,477.49260513371394,180.45180519462804
2025-12-02,265.29973433601106,477.34878924609876,180.34519197708502
2025-12-03,265.1401571126415,477.2061106944634,180.23942200098645
2025-12-04,264.9818420522861,477.0645606576503,180.13448860296106
